trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
211,False,"{'a': 0.39979302676898537, 'e': 0.7995860535379707}",25,0,-178.8104737129799,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
212,False,"{'a': 0.3989463591037256, 'e': 0.7978927182074512}",20,14,-14.635659423028784,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.39809750346673933, 'e': 0.7961950069334787}",20,2,-10.5945898720624,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.39724648147252106, 'e': 0.7944929629450421}",20,0,-1.4205340645212137,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
215,False,"{'a': 0.3963933147543888, 'e': 0.7927866295087777}",20,9,-13.162496365583227,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.39553802496357954, 'e': 0.7910760499271591}",20,14,10.337673247683728,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.3946806337683453, 'e': 0.7893612675366906}",25,5,-45.03320687532485,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
218,False,"{'a': 0.3938211628530509, 'e': 0.7876423257061018}",20,11,-3.817777262488727,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.39295963391727273, 'e': 0.7859192678345455}",20,0,-5.533122717369638,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
220,False,"{'a': 0.3920960686748982, 'e': 0.7841921373497964}",25,0,-76.44796720899429,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
221,False,"{'a': 0.3912304888532272, 'e': 0.7824609777064544}",25,9,3.698040222827821,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
222,False,"{'a': 0.3903629161920742, 'e': 0.7807258323841484}",25,0,-96.97517329367886,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
223,False,"{'a': 0.38949337244287213, 'e': 0.7789867448857443}",20,0,-130.0509250599154,"{0: 12, 1: 5, 2: 0, 3: 0, 4: 3}",0
224,False,"{'a': 0.38862187936777765, 'e': 0.7772437587355553}",20,0,-41.06186869921416,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
225,False,"{'a': 0.38774845873877745, 'e': 0.7754969174775549}",25,7,-31.58344581197676,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
226,False,"{'a': 0.38687313233679665, 'e': 0.7737462646735933}",20,8,-9.995616442720326,"{0: 8, 1: 4, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.3859959219508083, 'e': 0.7719918439016166}",25,0,-110.30960081971499,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
228,False,"{'a': 0.38511684937694457, 'e': 0.7702336987538891}",25,0,-105.80986141722813,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
229,False,"{'a': 0.38423593641760984, 'e': 0.7684718728352197}",20,0,-123.09813965344837,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
230,False,"{'a': 0.38335320488059527, 'e': 0.7667064097611905}",25,6,-63.19471320329927,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
231,False,"{'a': 0.38246867657819505, 'e': 0.7649373531563901}",25,4,-125.59113527008766,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 3}",1
232,False,"{'a': 0.3815823733263247, 'e': 0.7631647466526494}",25,0,-143.54378202337932,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
233,False,"{'a': 0.380694316943641, 'e': 0.761388633887282}",25,0,-90.93068274098104,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
234,False,"{'a': 0.37980452925066394, 'e': 0.7596090585013279}",25,2,-96.85641633982723,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
235,False,"{'a': 0.37891303206890065, 'e': 0.7578260641378013}",30,5,-93.7072325391374,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",1
236,False,"{'a': 0.37801984721997106, 'e': 0.7560396944399421}",20,0,-161.90255643701116,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
237,False,"{'a': 0.377124996524736, 'e': 0.754249993049472}",20,0,-71.18850851291141,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
238,False,"{'a': 0.3762285018024272, 'e': 0.7524570036048543}",20,10,-60.03929621288595,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
239,False,"{'a': 0.37533038486977904, 'e': 0.7506607697395581}",20,0,-56.33526504600374,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
240,False,"{'a': 0.3744306675401635, 'e': 0.748861335080327}",25,0,-77.92366312695657,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
